Date ,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18
01/01/2004,52.62,32.26,51.65,15.27,44.75,26.4,12.35,28.46,22.32,15.57,9.97,19.7,11.77,28.94,28.27,34.86,21.85,36.03
01/02/2004,51.92,32.13,51.24,15.27,44.53,25.98,11.74,28.23,22.09,15.13,9.65,19.54,11.43,28.8,27.74,34.37,21.68,35.62
01/03/2004,51.13,32.04,50.77,14.98,44.38,25.69,11.03,27.64,19.56,14.59,9.28,19.38,11.21,28.66,27.25,33.66,21.45,35.08
01/04/2004,50,32.1,50.31,15.02,44.63,25.48,10.46,27.24,18.19,14.32,9.14,19.28,11.12,28.55,27.12,33.21,21.33,34.83
01/05/2004,48.66,32.16,50.3,15.13,45,25.5,10.4,27.16,18,14.3,9.1,19.3,11.1,28.5,27.1,30.6,21.4,34.8
01/06/2004,48.1,32.39,50.47,15.34,45.79,25.75,10.71,27.34,17.83,14.58,9.39,19.57,11.41,28.65,27.28,32.87,21.65,35.12
01/07/2004,48.57,32.79,51,16.207,44.3,26.15,11.38,25.35,17.87,15.17,9.97,20.06,11.83,28.95,27.57,30.08,22.11,35.55
01/08/2004,49.04,33.08,51.65,17.073,47.77,26.87,12.69,28.82,17.99,16.24,10.97,20.56,12.41,29.24,27.92,33.66,22.84,36.25
01/09/2004,49.94,33.29,52.62,17.94,48.73,27.68,13.81,29.76,18.12,17.45,11.78,20.78,13.02,29.43,28.66,34.54,23.79,36.96
01/10/2004,50.14,12.63,53.33,17.94,49.14,28.18,14.28,30.18,18.32,17.96,12,20.97,13.26,29.62,29.28,35.1,24.54,37.27
01/11/2004,49.98,33.15,53.54,17.61,49.26,28.35,14.48,30.39,18.28,18,12.05,21.15,13.29,29.64,29.46,35.24,24.9,37.35
01/12/2004,49.75,32.97,53.51,17.16,49.14,28.26,14.32,30.21,17.99,17.82,11.82,21.1,13.15,29.53,29.31,35.08,24.85,37.2
01/01/2005,49.38,32.8,53.36,16.86,48.98,28.1,14.09,30.08,17.65,17.61,11.56,20.94,12.96,29.37,29.12,34.88,24.68,37.03
01/02/2005,48.97,32.67,52.94,16.55,48.6,27.46,13.16,29.76,17.06,16.69,10.89,20.72,12.64,29.15,28.67,34.61,24.4,36.54
01/03/2005,48.55,32.72,52.47,16.18,47.89,26.85,12.19,29.12,15.36,15.01,10.16,20.4,12.47,28.96,27.82,32.27,24.08,36.1
01/04/2005,48.06,33.19,52.27,15.95,47.48,26.41,11.34,28.62,13.81,14.43,9.76,20.19,12.35,28.83,27.25,33.92,23.78,35.83
01/05/2005,47.43,33.31,52.36,16.17,47.47,26.37,11.19,28.73,13.45,14.48,9.82,20.24,12.24,28.74,27.15,33.73,23.74,35.77
01/06/2005,47.36,33.5,52.55,16.84,47.72,26.49,11.37,28.82,13.47,14.83,10.06,20.46,12.39,28.91,27.31,33.75,23.93,35.92
01/07/2005,47.53,33.77,52.94,17.55,48.08,26.63,11.67,29.04,13.63,15.37,10.49,20.78,12.69,29.29,27.57,33.88,24.34,36.37
01/08/2005,47.53,33.77,52.94,17.55,48.08,26.63,11.67,29.04,13.63,15.37,10.49,20.78,12.69,29.29,27.57,33.88,24.34,36.37
01/09/2005,47.74,34.16,53.83,18.17,48.96,27.19,12.91,29.86,13.99,16.9,11.73,21.37,13.73,29.96,28.24,34.22,25.08,37.38
01/10/2005,47.83,34.01,54.11,17.99,49.24,27.48,13.43,30.05,14.09,17.46,11.98,21.5,13.96,29.899,28.52,34.39,25.21,37.52
01/11/2005,47.503,33.957,54.213,17.753,49.187,27.58,13.293,29.783,13.94,17.487,11.77,21.457,13.767,29.838,28.56,34.203,25.12,37.307
01/12/2005,47.177,33.903,54.317,17.517,49.133,27.68,13.157,29.517,13.79,17.513,11.56,21.413,13.573,29.777,28.6,34.017,25.03,37.093
01/01/2006,46.85,33.85,54.42,17.28,49.08,27.78,13.02,29.25,13.64,17.54,11.35,21.37,13.38,29.715,28.64,33.83,24.94,36.88
01/02/2006,46.49,33.59,54.14,16.82,48.61,27.4,12.74,28.71,13.41,16.42,10.86,21.26,13.06,29.654,28.24,33.3,24.84,36.24
01/03/2006,45.61,33.3,53.85,16.32,48.34,26.78,12.42,28.26,13.17,16.01,10.21,21.13,12.73,29.593,27.7,32.3,24.71,35.82
01/04/2006,43.89,32.98,53.64,16.13,48.07,26.27,11.96,27.96,12.96,15.39,9.95,21.03,12.51,29.532,27.39,33.08,24.49,35.69
01/05/2006,44.02,33.07,53.65,16.15,48.07,26.1,11.84,27.97,12.82,15.36,9.95,21.02,12.38,29.471,27.28,32.85,24.5,35.67
01/06/2006,44.49,33.43,53.86,16.4,48.24,26.24,12.07,28.17,12.85,15.68,10.17,21.1,12.48,29.41,27.41,32.91,24.63,35.87
01/07/2006,44.92,34.03,54.18,16.97,48.56,26.35,12.35,28.34,13.03,16.04,10.63,21.25,12.74,29.349,27.62,33.25,24.84,36.46
01/08/2006,45.58,34.62,54.75,17.73,48.89,26.57,12.67,28.47,13.26,16.37,11.08,21.39,13.05,29.287,27.93,33.56,25.06,36.86
01/09/2006,46.29,34.87,55.2,18.36,49.06,26.95,12.96,28.58,13.59,16.73,11.3,21.53,13.31,29.226,28.23,33.73,25.2,37.05
01/10/2006,46.22,34.73,55.43,18.22,49.23,27.34,13.25,28.86,13.81,17.13,11.45,21.71,13.73,29.165,28.61,33.98,25.29,37.19
01/11/2006,45.61,34.16,55.41,17.64,49.24,27.44,13.21,28.92,13.74,17.12,11.29,21.71,13.82,29.104,28.68,33.98,25.21,37.07
01/12/2006,45.27,33.92,55.17,17.39,49.02,27.28,12.97,28.69,13.59,16.87,11.05,21.61,13.63,29.043,28.38,33.9,25.07,36.86
01/01/2007,45.08,33.76,54.82,17.16,48.18,27.02,18.57,28.41,13.49,16.49,10.76,21.54,13.35,28.982,28.09,33.81,24.93,36.66
01/02/2007,44.69,33.48,54.65,16.72,48.7,26.64,12.41,28.12,13.27,16.05,10.48,21.33,13.15,28.921,27.84,33.62,24.48,36.31
01/03/2007,44.32,33.31,54.4,16.35,48.53,26.37,12.12,27.75,13.11,15.59,10.29,21.15,12.95,28.859,27.56,33.45,24.24,35.95
01/04/2007,44,33.18,54.26,16.09,48.33,26.04,11.78,27.43,13.02,15.21,10.09,21.04,12.76,28.798,27.18,33.13,24.1,35.59
01/05/2007,44.06,33.19,54.31,16.08,48.3,25.88,11.7,27.41,12.93,15.24,10.11,21.11,12.74,28.737,27.18,33.04,24.23,35.59
01/06/2007,44.36,33.38,54.48,16.32,48.52,25.99,12.02,27.67,12.95,15.79,10.42,21.33,13.15,28.676,27.4,33.19,24.41,35.87
01/07/2007,44.67,27.61,54.76,16.71,48.77,26.19,12.6,28.14,13.12,16.71,10.76,21.48,13.45,28.615,27.77,33.48,24.65,36.17
01/08/2007,45.02,34.08,54.96,17.22,48.95,26.47,12.95,28.52,13.49,17.39,11.25,21.58,13.71,28.554,28.09,33.75,24.99,36.42
01/09/2007,45.21,34.49,55.4,17.67,49.51,26.92,13.24,28.84,14.39,17.94,11.92,21.83,14.11,28.493,28.67,34.47,25.22,36.91
01/10/2007,45.3,34.85,56.19,17.88,49.87,27.42,13.54,29.08,14.82,18.25,12.23,22.1,14.45,28.431,28.96,35.12,25.46,37.19
01/11/2007,45.23,35.02,56.5,17.84,50.04,27.49,13.53,29.09,14.39,18.21,12.19,22.14,14.44,28.37,28.53,35.08,25.45,37.13
